province,year,manufacturing_urban_unit_employment_10k,total_employment_10k,manufacturing_share_total_employment,urban_unit_employment_10k,manufacturing_share_urban_unit_employment,numerator_source,denominator_source,notes
山东,2010,346.3537,5654.6728,0.06125088263285543,956.202,0.36221812964206307,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
河南,2010,158.8235,6041.5572,0.026288503897637514,751.6773,0.2112921329405584,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
湖北,2010,138.5297,3116.5193,0.04445013384001825,510.2601,0.2714884036592318,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
湖南,2010,106.2435,4007.7479999999996,0.026509526048044938,505.6991,0.21009232565373362,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
广东,2010,476.6581,5776.927100000001,0.08251066557512902,1118.5213,0.42615022172577305,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
广西,2010,62.5095,2945.3376,0.021223203750904484,316.6764,0.19739235383501896,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
海南,2010,8.0444,445.7246,0.018047915686053673,81.3129,0.09893141186699773,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
重庆,2010,62.4629,1912.1319,0.03266662723424048,266.3578,0.2345074933041195,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
四川,2010,124.2032,4997.6065,0.02485253690941854,570.5848,0.21767702189052354,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
贵州,2010,36.942,2402.1693999999998,0.015378599028028583,224.3269,0.1646793139832985,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
云南,2010,58.8358,2814.1065,0.020907453218277278,322.7731,0.1822822285995952,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
西藏,2010,0.7977,175.0289,0.00455753307025297,22.2116,0.035913666732698225,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
陕西,2010,81.008,1952.0264000000002,0.04149943873709904,364.8056,0.22205799472376517,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
甘肃,2010,35.2602,1431.8636000000001,0.02462539029555608,194.2926,0.18147989166854528,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
青海,2010,9.76,294.1019,0.033185776766488075,52.6042,0.18553651609567298,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
宁夏,2010,10.5891,325.9848,0.03248341640469126,59.3142,0.17852554700223555,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
新疆,2010,25.9793,852.5923,0.030470953115574698,254.9566,0.10189695030448319,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,manufacturing_share_total_employment = 制造业城镇单位就业人数 / 全部就业人数; manufacturing_share_urban_unit_employment = 制造业城镇单位就业人数 / 城镇单位就业合计
