year,robot_density_per_10000_manufacturing_workers,source_url,source_note,country,note
2013,25,https://ifr.org/img/uploads/2018-FEB-07-IFR-Press_Release_Robot_density_EN.pdf,IFR public press release,China,公开可核实年份点；非完整付费面板
2015,49,https://ifr.org/ifr-press-releases/news/robot-density-nearly-doubled-globally,IFR public news page,China,公开可核实年份点；非完整付费面板
2016,68,https://ifr.org/img/uploads/2018-FEB-07-IFR-Press_Release_Robot_density_EN.pdf,IFR public press release,China,公开可核实年份点；非完整付费面板
2018,140,https://ifr.org/ifr-press-releases/news/robotics-research-how-asia-europe-and-america-invest,IFR public news page,China,公开可核实年份点；非完整付费面板
2020,246,https://ifr.org/ifr-press-releases/news/robot-density-nearly-doubled-globally,IFR public news page,China,公开可核实年份点；非完整付费面板
2021,322,https://ifr.org/ifr-press-releases/news/china-overtakes-usa-in-robot-density,IFR public news page,China,公开可核实年份点；非完整付费面板
2022,402,https://ifr.org/ifr-press-releases/news/global-robot-density-in-factories-doubled-in-seven-years,IFR public news page,China,公开可核实年份点；非完整付费面板
2023,470,https://ifr.org/ifr-press-releases/news/global-robot-density-in-factories-doubled-in-seven-years,IFR public news page,China,公开可核实年份点；非完整付费面板
