province,year,gdp_100m_rmb,per_capita_gdp_rmb,population_year_end_10k_persons,urbanization_rate_pct_2010,registered_unemployment_rate_pct,registered_unemployment_persons_10k,industry_share_gdp_pct,second_industry_share_gdp_pct,manufacturing_urban_unit_employment_10k,urban_unit_employment_10k,total_employment_10k,manufacturing_share_total_employment,manufacturing_share_urban_unit_employment,urbanization_source_url,urbanization_source_title,urbanization_note,gdp_source,population_source,unemployment_source,employment_source,manufacturing_employment_source
浙江,2010,27722.31,51711.0,5446.51,,3.2,31.1342,45.659182081146916,51.6,351.6985,883.5917,3989.1771,0.08816317029394359,0.39803282443689775,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
安徽,2010,12359.33,20888.0,5956.7096,43.01,3.66,26.8631,43.751562584703215,52.1,76.0144,372.9376,3846.7587,0.019760636402798022,0.2038260556189561,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902054.html,安徽省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
福建,2010,14737.12,40025.0,3693.0,57.09,3.77,14.4929,43.412213512545186,51.0,241.2046,507.1395,2181.3249,0.1105771084353367,0.47561785268156,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902060.html,福建省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
江西,2010,9451.26,21253.0,4462.2489,44.06,3.31,26.2577,45.35649215025298,54.2,71.5888,297.3995,2306.0899,0.031043369124508117,0.24071593933412802,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902061.html,江西省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
山东,2010,39169.92,41106.0,9587.8641,,3.36,59.5139,48.15289385324249,54.2,346.3537,956.202,5654.6728,0.06125088263285543,0.36221812964206307,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
河南,2010,23092.36,24446.0,9405.4697,,3.38,38.1571,51.75252767582005,57.3,158.8235,751.6773,6041.5572,0.026288503897637514,0.2112921329405584,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
湖北,2010,15967.61,27906.0,5727.9143,,4.18,55.6542,42.12609150649346,48.6,138.5297,510.2601,3116.5193,0.04445013384001825,0.2714884036592318,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
湖南,2010,16037.96,24719.0,6570.1,,4.16,43.2172,39.31366582782349,45.8,106.2435,505.6991,4007.7479999999996,0.026509526048044938,0.21009232565373362,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
广东,2010,46013.06,44736.0,10440.9641,66.18,2.52,39.3029,46.644843876934075,50.0,476.6581,1118.5213,5776.927100000001,0.08251066557512902,0.42615022172577305,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902062.html,广东省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
广西,2010,9569.85,20219.0,4610.0,,3.66,19.0707,40.339817238514705,47.1,62.5095,316.6764,2945.3376,0.021223203750904484,0.19739235383501896,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
海南,2010,2064.5,23831.0,868.5512,,3.0,4.7738,18.65875514652458,27.7,8.0444,81.3129,445.7246,0.018047915686053673,0.09893141186699773,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
重庆,2010,7925.58,27596.0,2884.62,,3.9,13.0166,46.65690081987691,55.0,62.4629,266.3578,1912.1319,0.03266662723424048,0.2345074933041195,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
四川,2010,17185.48,21182.0,8044.92,40.18,4.14,34.555,43.242609458682566,50.5,124.2032,570.5848,4997.6065,0.02485253690941854,0.21767702189052354,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902070.html,四川省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
贵州,2010,4602.16,13119.0,3478.9408,,3.64,12.1798,32.959957932796776,39.1,36.942,224.3269,2402.1693999999998,0.015378599028028583,0.1646793139832985,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
云南,2010,7224.18,15752.0,4601.6,35.2,4.21,15.6899,36.046582449496,44.6,58.8358,322.7731,2814.1065,0.020907453218277278,0.1822822285995952,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902075.html,云南省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
西藏,2010,507.46,17319.0,300.7218,,3.99,2.0789,7.829188507468568,32.3,0.7977,22.2116,175.0289,0.00455753307025297,0.035913666732698225,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
陕西,2010,10123.48,27133.0,3735.2267,,3.85,21.4206,45.033624800957774,53.8,81.008,364.8056,1952.0264000000002,0.04149943873709904,0.22205799472376517,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
甘肃,2010,4120.75,16113.0,2559.98,36.12,3.21,10.7224,38.89753078929806,48.2,35.2602,194.2926,1431.8636000000001,0.02462539029555608,0.18147989166854528,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902076.html,甘肃省2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
青海,2010,1350.43,24115.0,563.0,44.72,3.8,4.2424,45.441081729523184,55.1,9.76,52.6042,294.1019,0.033185776766488075,0.18553651609567298,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902077.html,青海省2010年第六次人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
宁夏,2010,1689.65,26860.0,632.96,47.9,4.35,4.7551,38.05817772911549,49.0,10.5891,59.3142,325.9848,0.03248341640469126,0.17852554700223555,https://www.stats.gov.cn/sj/tjgb/rkpcgb/dfrkpcgb/202302/t20230206_1902078.html,宁夏回族自治区2010年第六次全国人口普查主要数据公报,2010年第六次全国人口普查公报口径（城镇人口占常住人口比重）,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
新疆,2010,5437.47,25034.0,2185.11,,3.23,10.9874,39.749920459331264,47.7,25.9793,254.9566,852.5923,0.030470953115574698,0.10189695030448319,,,本版未补齐；留空待补,https://www.stats.gov.cn/sj/ndsj/2011/html/C0215C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/D0304C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0418C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0404C.xls,https://www.stats.gov.cn/sj/ndsj/2011/html/E0406C.xls
