rep,stat_mean_diff
1,-0.2655428681468379
2,-0.08880670998295415
3,-0.013693842763303543
4,-0.0446226704419832
5,-0.2081036167435757
6,-0.18601159697309022
7,-0.32298211955010014
8,-0.25228765628454664
9,-0.1241539416157309
10,-0.0446226704419832
11,-0.09322511393705124
12,0.06583742841044415
13,-0.14182755743211928
14,-0.2611244641927408
15,-0.1197355376616338
16,-0.1992668088353815
17,-0.14182755743211928
18,-0.15066436534031347
19,-0.06671469021246779
20,-0.11089872975343962
21,-0.18159319301899313
22,-0.23019563651406116
23,-0.057877882304274486
24,0.017234984915376117
25,-0.21694042465176988
26,-0.14624596138621548
27,-0.22135882860586698
28,-0.18601159697309022
29,-0.15066436534031347
30,-0.13740915347802218
31,-0.16833798115670184
32,-0.269961272100935
33,-0.17275638511079894
34,-0.04020426648788611
35,-0.17275638511079894
36,-0.11089872975343962
37,-0.15508276929441056
38,-0.07555149812066198
39,-0.24786925233044954
40,-0.07996990207475996
41,-0.026949054625593938
42,-0.15066436534031347
43,-0.17275638511079894
44,-0.14624596138621548
45,-0.07555149812066198
46,-0.10648032579934164
47,-0.009275438809206449
48,-0.11531713370753671
49,0.06141902445634706
50,-0.013693842763303543
51,-0.25228765628454664
52,-0.2611244641927408
53,0.02165338886947321
54,-0.2655428681468379
55,-0.057877882304274486
56,-0.23903244442225535
57,-0.24786925233044954
58,-0.128572345569828
59,-0.2036852127894786
60,-0.035785862533788126
61,-0.03136745857969192
62,-0.23461404046815826
63,-0.013693842763303543
64,-0.0490410743960803
65,-0.15066436534031347
66,-0.18159319301899313
67,-0.2611244641927408
68,-0.08880670998295415
69,-0.15066436534031347
70,-0.2655428681468379
71,-0.14182755743211928
72,-0.18601159697309022
73,-0.013693842763303543
74,0.04816381259405578
75,-0.11531713370753671
76,-0.25228765628454664
77,-0.1197355376616338
78,-0.08880670998295415
79,-0.15508276929441056
80,-0.15508276929441056
81,-0.128572345569828
82,-0.1241539416157309
83,-0.24345084837635245
84,-0.08880670998295415
85,-0.10206192184524543
86,-0.0446226704419832
87,-0.0048570348551093545
88,-0.0490410743960803
89,-0.15508276929441056
90,-0.05345947835017739
91,-0.23019563651406116
92,-0.2876348879173234
93,-0.32740052350419724
94,-0.1948484048812844
95,-0.2125220206976728
96,0.07025583236454125
97,-0.0004386309010122602
98,-0.057877882304274486
99,-0.2611244641927408
100,-0.1329907495239251
101,-0.2567060602386446
102,-0.15950117324850765
103,-0.30972690768780886
104,-0.0004386309010122602
105,-0.1197355376616338
106,-0.07113309416656577
107,-0.3406557353664885
108,-0.035785862533788126
109,-0.06229628625837158
110,-0.1992668088353815
111,-0.15508276929441056
112,0.1100214679514151
113,-0.07555149812066198
114,-0.1329907495239251
115,-0.0446226704419832
116,-0.32740052350419724
117,-0.013693842763303543
118,-0.17275638511079894
119,-0.1329907495239251
120,-0.03136745857969192
121,-0.15508276929441056
122,-0.2036852127894786
123,-0.17275638511079894
124,-0.09764351789114833
125,-0.1197355376616338
126,-0.17275638511079894
127,-0.035785862533788126
128,-0.0446226704419832
129,-0.15950117324850765
130,-0.05345947835017739
131,-0.21694042465176988
132,-0.269961272100935
133,-0.15950117324850765
134,-0.2832164839632263
135,-0.1329907495239251
136,-0.04020426648788611
137,-0.02253065067149773
138,0.04816381259405578
139,-0.269961272100935
140,-0.15508276929441056
141,-0.24345084837635245
142,-0.15950117324850765
143,-0.16391957720260475
144,-0.1948484048812844
145,-0.21694042465176988
146,-0.1992668088353815
147,0.003979773053085722
148,-0.21694042465176988
149,-0.0490410743960803
150,-0.14182755743211928
151,-0.08880670998295415
152,-0.128572345569828
153,-0.17717478906489603
154,-0.2743796760550321
155,-0.06671469021246779
156,-0.1329907495239251
157,-0.0446226704419832
158,-0.1992668088353815
159,-0.23019563651406116
160,-0.15950117324850765
161,-0.4157686025861391
162,-0.10648032579934164
163,-0.22577723255996407
164,-0.17717478906489603
165,-0.10648032579934164
166,-0.1948484048812844
167,-0.23019563651406116
168,-0.2964716958255176
169,-0.1992668088353815
170,-0.0048570348551093545
171,-0.19043000092718732
172,-0.22135882860586698
173,-0.1948484048812844
174,-0.362747755136974
175,-0.018112246717400637
176,-0.10648032579934164
177,-0.3008900997796147
178,-0.14182755743211928
179,-0.057877882304274486
180,-0.08880670998295415
181,-0.15066436534031347
182,-0.23461404046815826
183,-0.23019563651406116
184,-0.08880670998295415
185,-0.2036852127894786
186,-0.14624596138621548
187,-0.128572345569828
188,-0.2036852127894786
189,0.03490860073176538
190,-0.13740915347802218
191,-0.19043000092718732
192,0.07467423631863923
193,-0.09322511393705124
194,-0.2655428681468379
195,-0.15066436534031347
196,-0.17717478906489603
197,-0.09322511393705124
198,0.09676625608912381
199,-0.23903244442225535
