rep,ate_hajek
1,-0.032016680940644804
2,0.0701331392518103
3,0.06336765582975179
4,0.029345486496964668
5,0.042897960262823
6,0.1858067176834588
7,0.13141679529295747
8,0.07702000104872209
9,0.1790038096620492
10,0.07009297401998538
11,-0.05922069288251208
12,-0.14770798434895038
13,-0.10005547636150158
14,-0.1475615395582448
15,-0.03191070080963776
16,-0.01837352220717392
17,-0.03872180369092959
18,-0.0796459679809498
19,-0.10005048445352216
20,-0.07955011973472903
21,-0.24297629634450502
22,0.1789643890335766
23,-0.01834495755660992
24,0.036076060385862085
25,-0.06601877399292189
26,-0.11362053948863782
27,0.029325000746724506
28,0.05652681477035859
29,-0.05238345462508409
30,-0.1408425218136813
31,0.20624203622084103
32,0.029337187419678834
33,-0.1000262155003977
34,0.14503609615125868
35,0.06329945075146526
36,0.02242410224832181
37,-0.07951194793593075
38,-0.032037364719451844
39,0.02249848901303153
40,-0.004681392371249871
41,0.15182632760622639
42,-0.14768706403801435
43,-0.10004974933981892
44,-0.10007361547526905
45,-0.05237866950292691
46,-0.12049912717158051
47,0.0020372364484657624
48,-0.018372501247699624
49,0.2266266492794058
50,0.1449895595745847
51,-0.10009805995126708
52,0.02251749983885798
53,0.0428715677556335
54,-0.19530207255751186
55,0.022447894114684175
56,0.04290480539359187
57,-0.06607317594916129
58,-0.1953445732334682
59,0.18584194370600304
60,-0.12720981872897852
61,-0.21566648745322414
62,0.15866269183826365
63,-0.05239525951977342
64,-0.18853117457624702
65,0.04283313021807711
66,-0.12726606574316257
67,0.0837692897354998
68,0.14499540820947132
69,0.12452927139056591
70,0.14502152799112
71,-0.10679400180536547
72,-0.004753786032641649
73,-0.03198131771902002
74,0.015630713706975996
75,0.015632202111921067
76,-0.18169199851881235
77,-0.13402152917021315
78,-0.07275242762429901
79,0.26062456998979666
80,0.008843030370390359
81,0.008908371864658093
82,-0.0251480862632798
83,-0.031891759315885615
84,0.002088311912932461
85,-0.08650238375909414
86,-0.03876472750173754
87,0.13815264850616593
88,0.03608811193108963
89,-0.09320686955829594
90,-0.05244124047893006
91,0.07020025837570731
92,-0.14082453764699476
93,0.029252904701868587
94,0.172253095768804
95,-0.011476754452862004
96,-0.011563181626465635
97,0.03601034095080635
98,-0.018396732390711712
99,0.09053614374666896
100,-0.02517492880863781
101,0.04968778713280919
102,-0.01152861965363794
103,-0.12718876597261008
104,0.036094330464152335
105,0.03604872228814138
106,-0.07959146572336895
107,-0.08638866780997478
108,-0.08647917339756983
109,0.07679346576671975
110,0.13819468592579653
111,-0.07964244475516402
112,-0.004689034432087347
113,0.11098776950168077
114,0.3355627076272105
115,0.036115051445472446
116,-0.14089762945610929
117,0.11770866530803303
118,0.06329369259719897
119,0.04969461760805771
120,-0.0863587874527676
121,-0.004736210799067386
122,-0.004797124253083318
123,0.00210746206684842
124,0.029340086815939692
125,0.07692139916455698
126,0.0700425216890066
127,-0.07963350962922
128,-0.004735903465479474
129,0.07012351811490447
130,0.17907063664245992
131,-0.03201773783293138
132,-0.08635935585903542
133,0.1857408074553506
134,-0.10683025105575616
135,-0.12723680599364773
136,0.09737526687533204
137,0.0020615859987307417
138,-0.10006538591967651
139,-0.059208060742569124
140,-0.05925426630786834
141,0.0020908590778034863
142,0.1110268955683118
143,0.0021391024169430395
144,0.08376247671132209
145,0.015677135331038095
146,-0.12043233437230061
147,0.08375943039674727
148,0.09053318770206609
149,-0.09324814035510531
150,-0.07275050585597409
151,-0.08636783545419124
152,-0.06606846180381165
153,-0.06601893423456051
154,0.3015160032279045
155,0.0904665872232675
156,0.036059730387963285
157,-0.2973922479123514
158,-0.03875887449500226
159,0.06325195847112042
160,-0.04557918325633903
161,-0.03198164169111806
162,0.015665294353985004
163,0.09047329899868473
164,0.07013956094206453
165,-0.12724767274484527
166,0.04279904264205037
167,-0.06596261243850243
168,0.08366056413121026
169,0.03612929617338345
170,0.07015316133592009
171,-0.10677914200055394
172,-0.12719019721898128
173,0.0020640910898075404
174,0.008880033171792867
175,-0.09990646218825638
176,0.2199371291828216
177,-0.03195235663551976
178,0.02250735413057381
179,-0.052397385134238306
180,0.03612295136340382
181,-0.09315079513785829
182,0.029344283327564114
183,-0.07282261011593505
184,0.15175873264085737
185,-0.1476813339510974
186,-0.07286564581226873
187,0.08371047098096085
188,-0.031885285576481515
189,0.015718593207909137
190,-0.05238146489883366
191,-0.045576144343119296
192,0.10419135190723772
193,0.06332441117414955
194,-0.14086335999564792
195,-0.018301167413252273
196,-0.181767978675496
197,-0.02522354138839855
198,-0.02516947134596581
199,0.1654275937240719
