model,param,coef,std_err,t,pvalue,n_obs,r2
M1_log_cost_policy,Intercept,-15.888150951987257,0.0227428827526729,-698.5988154962446,0.0,600,0.999662605432051
M1_log_cost_policy,C(policy_id)[T.pl_deepseek_pro],2.4980131099985066,0.003008551299036296,830.3043098512809,0.0,600,0.999662605432051
M1_log_cost_policy,log_tokens,1.1095012712679146,0.003518370087917422,315.3452432642314,0.0,600,0.999662605432051
M2_quality_sector,Intercept,-3.013231502347473,0.6891735892277676,-4.372238793601852,1.2297890838234376e-05,588,0.6376201013348886
M2_quality_sector,C(tepsa_sector)[T.education],-1.3921472783842295,0.26129380166186605,-5.327900124419229,9.935472879536036e-08,588,0.6376201013348886
M2_quality_sector,C(tepsa_sector)[T.enterprise_support],0.7922165455254188,0.23551370694625662,3.3637810546041793,0.0007688250954170652,588,0.6376201013348886
M2_quality_sector,C(tepsa_sector)[T.manufacturing],1.0155484941895963,0.2476717942562119,4.100380090673668,4.124721162414745e-05,588,0.6376201013348886
M2_quality_sector,C(tepsa_sector)[T.public_service],0.9822052446252196,0.24294378697530275,4.042932140203565,5.2786901806416054e-05,588,0.6376201013348886
M2_quality_sector,log_tokens,1.5555170882219262,0.10507307738104417,14.804145143488023,1.3772687398541778e-49,588,0.6376201013348886
